Service Name;Service Link;Description;Short Description;Other Links;Date;Mini Description
Dog parks;https://www.espoo.fi/en/services/dog-parks;"Espoo has parks for dogs around the city, this means fenced areas.

Dog parks are fenced areas for dogs. Many of our dog parks have separate areas for small and large dogs. Your dog can safely run and play with other dogs off the leash in a dog park. 

Please remember that you are always responsible for your dog. Without permission, you cannot let your dog off the leash in a public area.

A dog beach is a fenced area where dogs can swim. There is one in Haukilahti, near the Toppelund public beach, at Mellstenintie 4.

You can find all dog parks and the Haukilahti dog beach in the Espoo map service and on the capital region service map.";Espoo has parks for dogs around the city, this means fenced areas.;"Iivisniemenpelto dog park: https://www.espoo.fi/en/unit/27510; Jupperinmetsä dog park: https://www.espoo.fi/en/unit/27528; Karamzin park dog park: https://www.espoo.fi/en/unit/27508; Kauklahti sports park dog enclosure: https://www.espoo.fi/en/unit/76661; Kellaripuisto (Kilo) dog park: https://www.espoo.fi/en/unit/27514; Kirkkojärvenpuisto dog park: https://www.espoo.fi/en/unit/66844; Kivenlahti dog park: https://www.espoo.fi/en/unit/27512; Kurkijoenpuisto dog park: https://www.espoo.fi/en/unit/27523; Laitniemi (Niipperi) Dog Park: https://www.espoo.fi/en/unit/73545; Lasipuisto dog park: https://www.espoo.fi/en/unit/27527; Lintukorpi dog park: https://www.espoo.fi/en/unit/57547; Lukupuro dog park: https://www.espoo.fi/en/unit/27522; Nöykkiönpuisto dog park: https://www.espoo.fi/en/unit/27509; Olari dog park: https://www.espoo.fi/en/unit/27521; Palokaivonpuisto dog park: https://www.espoo.fi/en/unit/27517; Pisahills dog park: https://www.espoo.fi/en/unit/27511; Rantametsä dog park: https://www.espoo.fi/en/unit/27524; Riilahdenpuisto dog park (Soukka): https://www.espoo.fi/en/unit/27513; Saarnilaakso dog park: https://www.espoo.fi/en/unit/27529; Tonttumaanpuisto dog park: https://www.espoo.fi/en/unit/74084; Toppelund dog beach: https://www.espoo.fi/en/unit/66814; Turvesuonpuisto dog park: https://www.espoo.fi/en/unit/35324; Tuuliniitty dog park: https://www.espoo.fi/en/unit/27525; Vävarsinhaka dog park in Suurpelto: https://www.espoo.fi/en/unit/63121; Vermonpuisto dog park: https://www.espoo.fi/en/unit/35325; Viherkallionpuisto dog park: https://www.espoo.fi/en/unit/27518; Helsinki Region Service Map : https://palvelukartta.hel.fi/en/; Give feedback or ask us about dog parks: https://easiointi.espoo.fi/eFeedback/en; Espoo Map Service : https://kartat.espoo.fi/IMS/en/Map; Dog beach in Haukilahti : https://www.espoo.fi/en/services/dog-beach; Dog park programme 2023–2033 and dog park rules: https://www.espoo.fi/en/dog-park-programme-and-rules#dog-park-programme-18354; Report a problem: https://easiointi.espoo.fi/eFeedback/en/Feedback/31-Vikailmoitukset";13.10.2025;Espoo's dog parks provide fenced off-leash areas (often with separate sections for small and large dogs) and a dog beach, with locations shown in the Espoo map service.
Dumping of dredging waste;https://www.espoo.fi/en/services/dumping-dredging-waste;"Soft dredging waste that cannot be used for other purposes may be dumped in a designated sea area next to Rövargrundet in Espoo. Only Espoo-based dredging waste can be dumped in the area. 

The dredging waste may only contain minor levels of harmful substances. To dump dredging waste, you need a water permit issued by the Regional State Administrative Agency for Southern Finland.

You must apply for a permit to dump dredging waste next to Rövargrundet from the Public Works Department. Permit applications and instructions for applying for the license and dumping dredging waste:

Tarja Bäck, Environmental Technology Engineer, e-mail: tarja.back@espoo.fi, tel. 040 6394594";Soft dredging waste that cannot be used for other purposes may be dumped in a designated sea area next to Rövargrundet in Espoo.;Give feedback: https://easiointi.espoo.fi/eFeedback/en;13.10.2025;Allows the dumping of soft dredging waste that cannot be reused in the designated sea area near Rövargrundet, Espoo, under a water permit from the Regional State Administrative Agency for Southern Finland, via an application to the Public Works Department.
Early childhood education as special care;https://www.espoo.fi/en/childcare-and-education/early-childhood-education/early-childhood-education-special-care;"In the case of children with intellectual disabilities, early childhood education can be provided as special care.

In the case of children with intellectual disabilities, early childhood education can be provided as special care if
-the need is based on ensuring the individual care of the child
-the purpose of the day care is to promote the child's ability to perform their daily activities.
A diagnosis of intellectual disability is not in itself a sufficient reason to include day care in a special care programme.";In the case of children with intellectual disabilities, early childhood education can be provided as special care.;N/A;13.10.2025;Provides early childhood education as special care for children with intellectual disabilities when individualized care is needed and the focus is on enabling daily activities, not merely on the diagnosis.
Easement survey;https://www.espoo.fi/en/services/easement-survey;"A permanent right of use, i.e. an easement, may be established to benefit a plot in the area of another plot. An easement established in this procedure remains valid even if the plot owners change.  

The most common easements are road easements and various types of easements regarding water and sewerage pipes, power cables, etc., and easements established for keeping cars. An easement may also be established for a waste collection place. Easements are established at the request of the owner in connection with the parcelling procedure or in a separate easement survey, and their establishment usually requires an easement agreement between the plot owners. The application can be submitted either through the electronic service (online application) or by sending it by post. 

The establishment of an easement in connection with plot parcelling costs €130 per easement. A separate easement survey, establishing 1 easement, costs €500. The cost of each subsequent easement is €130. The easement survey takes approximately 1-2 months. In urgent cases, the applicant can speed up the process by obtaining written acceptance for it from all parties. ";A permanent right of use, i.e. an easement, may be established to benefit a plot in the area of another plot. An easement established in this procedure remains valid even if the plot owners change. ;"City Surveying services: https://www.espoo.fi/en/unit/21972; Acceptance - Easement survey: https://static.espoo.fi/cdn/ff/O8XvSG8HqXhpzLPQOQsc8NribkmR1rIIhFBVD0FKfGw/1632725701/public/2021-09/EN%20Hyv%C3%A4ksynt%C3%A4_rasitetoimitus.pdf; Application - Cadastral procedure: https://static.espoo.fi/cdn/ff/caHRnx7WBeFcTjGHvGe_fT8wiplOdxQKnx45V1-PcwU/1632727351/public/2021-09/EN%20Kiinteist%C3%B6toimitushakemus_0.pdf; Online application (You can only submit an application in Finnish and Swedish): https://easiointi.espoo.fi/ePermit/; Cadastral procedure fee 1.1.2024: https://static.espoo.fi/cdn/ff/vjF7qqcPAW7ohiKWNsxidSX-4PwHeluNbgLIwvqL0lI/1702902535/public/2023-12/Cadastral%20proceture%20fee%201.1.2024_2.pdf";13.10.2025;This service creates and records permanent easements (rights of use) on a property for roads, utilities, parking, and similar uses, typically during parceling or via a separate easement survey, requiring an easement agreement between owners and applicable fees.
Education of language and cultural groups;https://www.espoo.fi/en/childcare-and-education/basic-education/studying-comprehensive-school/education-language-and-cultural-groups;In Espoo, pupils belonging to foreign language and cultural groups are arranged preparatory education, Finnish as a second language education, pupil's own mother tongue education and intensified support after preparatory education (MMO support).;In Espoo, pupils belonging to foreign language and cultural groups are arranged preparatory education, Finnish as a second language education, pupil's own mother tongue education and intensified support after preparatory education (MMO support).;N/A;13.10.2025;The service provides preparatory education, Finnish as a second language instruction, mother tongue education, and intensified post-preparatory support (MMO) for pupils from foreign language and cultural groups in Espoo.
Educational services of the City Museum;https://www.espoo.fi/en/services/educational-services-city-museum;"The museum offers educational services for learners of all ages. These include guided tours and activities such as work performances and workshops.

The museum offers educational services for learners of all ages: day-care centres, schools, different educational institutions, universities as well as various organisations, associations and clubs. The museum also supports immigrants' integration into their new home country. Educational curators and museum guides provide guidance for groups upon request at the locations of the museum and also outside the museum by agreement. The offering also includes activities, entertainment, themed guided tours and workshops.

Museum visits by day-care centres, schools and educational institutions are free of charge. The museum visit must be reserved at least three days before the desired time.

Contact information:
kaupunginmuseo(at)espoo.fi";The museum offers educational services for learners of all ages. These include guided tours and activities such as work performances and workshops.;KAMU Espoo City Museum: https://www.espoo.fi/en/unit/20405;13.10.2025;Educational services at the City Museum offer guided tours, workshops, and themed activities for learners of all ages, with on-site or off-site delivery, free visits for schools and day-care centers, and support for immigrant integration, all available by advance reservation.
Electric vehicle charging points;https://www.espoo.fi/en/services/electric-vehicle-charging-points;"Public charging points offer an excellent opportunity to charge an electric vehicle while doing other things. 

In Espoo, there are a few public EV charging points at sports venues and shopping centres and also street areas.";In Espoo, there are a few public EV charging points at sports venues and shopping centres and also street areas.;"Charging station for electric vehicle, Espoonlahti sports park: https://www.espoo.fi/en/unit/60098; Charging station for electric vehicle, Huvilinnantie: https://www.espoo.fi/en/unit/64658; Charging station for electric vehicle, Leppävaara: https://www.espoo.fi/en/unit/60099; Charging station for electric vehicle, Mäntyviita: https://www.espoo.fi/en/unit/64677; Charging station for electric vehicle, Naavakalliontie: https://www.espoo.fi/en/unit/64676; Charging station for electric vehicle, Nature center Haltia: https://www.espoo.fi/en/unit/58514; Charging station for electric vehicle, Nokkala boat harbour: https://www.espoo.fi/en/unit/60181; Charging station for electric vehicle, Nuottaniemi marina: https://www.espoo.fi/en/unit/66788; Charging station for electric vehicle, Oittaa: https://www.espoo.fi/en/unit/59432; Charging station for electric vehicle, park-and-ride: https://www.espoo.fi/en/unit/58515; Charging station for electric vehicle, Rummunlyöjankatu: https://www.espoo.fi/en/unit/64675";13.10.2025;Public electric vehicle charging points in Espoo allow drivers to recharge their EVs while they engage in other activities at sports venues, shopping centres, or street areas.
Employment services for employers;https://www.espoo.fi/en/services/employment-services-employers;"Employment services can help you find and recruit an employee.


As an employer, the employment authority provides you with advice and assistance in filling a vacancy and information on your sector's jobseekers and the labour market situation. Financial support may be granted to employers if the person employed is unemployed or the person's disability or illness requires other support.

Employment services for employers include the publication of jobs, the provision of information on vacancies, the application and presentation of jobseeker candidates, and the organisation of recruitment events.";"Employment services can help you find and recruit an employee.
";"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;A service for employers that helps publish vacancies, access jobseeker information and candidates, organize recruitment events, and provide advisory support (with potential financial assistance for eligible hires).
Employment services for immigrants;https://www.espoo.fi/en/services/employment-services-immigrants;"By registering yourself as a jobseeker, you become a customer of the Employment services and you can start job seeking.

When you register as a jobseeker, you start your job search and customer relationship with the Employment services in Espoo. As a jobseeker, you can apply for unemployment benefit from Kela or your unemployment fund.

The Employment services advises and guides you in applying for work and offers other services that help you integrate and get work. Such services may include integration training and multilingual social orientation, where you can find information about Finnish society.

The initial interview or the assessment of the competence and integration service needs examines your study and work history, language skills and other matters affecting your integration and employment. In addition, your language, reading and writing skills may be tested.

An integration plan supports your integration in Finland. It agrees on Finnish or Swedish language studies that correspond to your study skills and on participation in services that promote employment that best suit your situation.";By registering yourself as a jobseeker, you become a customer of the Employment services and you can start job seeking.;"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889; E-services: https://tyomarkkinatori.fi/en/personal-customers/official-matters";13.10.2025;An immigrant-focused employment service that guides and supports jobseekers—from registration and assessment to language study and a personalized integration plan—to help them find work and access unemployment benefits.
Employment subsidy for people aged 55 or over;https://www.espoo.fi/en/services/employment-subsidy-people-aged-55-or-over;"The employment subsidy is a financial subsidy for employers for the salary costs of an unemployed jobseeker aged 55 or over.

The employment subsidy is a benefit intended to promote the employment of unemployed jobseekers aged 55 or over that an employment authority can grant to an employer to cover pay costs. The purpose of the subsidy is to promote the employment of people aged 55 or over by improving their professional skills or entrepreneurial skills. The subsidy is granted and paid to the employer, but its granting is always based on the unemployed jobseeker's service need.

The employment subsidy requires that the unemployed jobseeker hired for the employment relationship has reached the age of 55 and has been unemployed for at least 24 months in the 28 months immediately preceding the granting of the subsidy.

An employment subsidy may be granted for a full-time employment contract valid until further notice or a fixed-term full-time employment contract. The person hired with the subsidy must work for the recipient for at least 25 hours a week. If the regular working hours in the sector are less than 37.5 hours per week, the working hours must be at least 65 per cent of the regular working hours in the sector.

The unemployed jobseeker's employment plan or pay subsidy card includes a mention of the subsidy.

The amount of employment subsidy is 70 per cent of the wage costs. The aid may be granted for a period of 10 months but not longer than the duration of the employment relationship. The maximum amount of employment subsidy paid is €1,770 per month. The pay covered with the subsidy is the pay subject to withholding tax that is paid to the employee on the basis of working hours or the performance of a contract.";The employment subsidy is a financial subsidy for employers for the salary costs of an unemployed jobseeker aged 55 or over.;"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;A wage subsidy provided to employers to cover 70% of the wages for hiring unemployed jobseekers aged 55 or over, for up to 10 months (maximum €1,770 per month) to promote their employment.
Energy;https://www.espoo.fi/en/services/energy;The city promotes the introduction of renewable energy sources in the city's construction and design operations and in the everyday lives of Espoo residents.;The city promotes the introduction of renewable energy sources in the city's construction and design operations and in the everyday lives of Espoo residents.;N/A;13.10.2025;The Energy service promotes the adoption of renewable energy in Espoo’s construction and design activities and in the daily lives of its residents.
Environmental education;https://www.espoo.fi/en/services/environmental-education;"Environmental education services such as nature excursions, schools and courses are available to people of all ages.

Environmental education supports individuals and organisations so that their values, knowledge, skills and operating methods become sustainable and their environmental awareness increases. In addition to information, experiences and personal action play an important part.

Support and inspiration for environmental education work can be obtained at Nature House Villa Elfvik, the Finnish Nature Centre Haltia, environmental education training courses and the Eco-Schools Programme.";Environmental education services such as nature excursions, schools and courses are available to people of all ages.;Nature House Villa Elfvik: https://www.espoo.fi/en/unit/27540;13.10.2025;Environmental education offers nature-based experiences, courses, and programs for people of all ages to cultivate sustainable values, knowledge, skills, and environmental awareness—and to encourage personal action.
Environmental education further training courses;https://www.espoo.fi/en/sports-and-nature/explore-nature/nature-house-villa-elfvik/environmental-education-further-training-courses;"Environmental education in schools and day-care centres of Espoo is supported by organising various environmental education training courses for the personnel.

Nature centres and schools of the Helsinki Metropolitan Area organise environmental education training for teachers, day-care personnel, educators and municipal residents. Environmental training provides skills to guide children and young people in nature and methods to handle everyday environmental issues.";Environmental education in schools and day-care centres of Espoo is supported by organising various environmental education training courses for the personnel.;Nature House Villa Elfvik: https://www.espoo.fi/en/unit/27540;13.10.2025;Offers professional development courses in environmental education for teachers, daycare personnel, educators, and residents in Espoo and the Helsinki Metropolitan Area, equipping them to guide children in nature and address everyday environmental issues.
Environmental permit;https://www.espoo.fi/en/services/environmental-permit;"An environmental permit is needed for activities causing risk of environmental contamination. The licensing requirement is based on the Environmental Protection Act and the decree adopted thereunder that defines the activities under the licensing requirement. 

Environmental permits are granted by municipalities and regional state administrative agencies. 

The granting of the permit requires, among other things, that the activity does not cause health hazards or other significant environmental contamination or its risk.

For certain activities, the environmental permit is replaced by a registering policy if the activity meets certain criteria.";An environmental permit is needed for activities causing risk of environmental contamination.;"Environmental protection services: https://www.espoo.fi/en/unit/66794; Apply for a permit: https://www.espoo.fi/en/housing-and-building/environmental-protection/environmental-supervision/environmental-supervision-permits-notifications-and-registration";13.10.2025;Provides environmental permits required by the Environmental Protection Act to authorize activities that may pose health or environmental risks, ensuring they do not cause significant contamination, with permits issued by municipalities or regional authorities (some activities may instead be covered by registration).
Environmental protection;https://www.espoo.fi/en/housing-and-building/environmental-protection;We serve as experts in matters relating mitigating and adapting to climate change, strengthening biodiversity and preventing environmental pollution as well as water systems. Environmental Protection also offers environmental education at Nature House Villa Elfvik.;We serve as experts in matters relating mitigating and adapting to climate change, strengthening biodiversity and preventing environmental pollution as well as water systems. Environmental Protection also offers environmental education at Nature House Villa Elfvik.;Environmental protection services: https://www.espoo.fi/en/unit/66794;13.10.2025;Environmental Protection provides expertise in climate change mitigation and adaptation, biodiversity conservation, pollution prevention (including water systems), and environmental education at Nature House Villa Elfvik.
Environmental supervision;https://www.espoo.fi/en/services/environmental-supervision;"The Environment supervision supervises activities causing risk of contamination of the environment. Certain activities require a notification or an application for permit to be submitted to the and Building Control Department or the Environment Committee.

The Environment supervision supervises the activities of various companies and operators according to the Environmental Protection Act and the Waste Act, for example. Certain activities are subject to permission or declaration according to the above-mentioned acts, decrees adopted thereunder or municipal regulations.

The Environment and Building Control Department can be informed about defects causing risk of environmental contamination. These may include unauthorised landfills, harmful emissions observed in water systems or air and other activities against the regulations concerning environmental protection.";The Environment supervision supervises activities causing risk of contamination of the environment. Certain activities require a notification or an application for permit to be submitted to the and Building Control Department or the Environment Committee.;"Environmental protection services: https://www.espoo.fi/en/unit/66794; Environmental supervision: https://www.espoo.fi/fi/asuminen-ja-rakentaminen/ymparistonsuojelu/ymparistovalvonta";13.10.2025;Environmental supervision monitors and regulates activities that could contaminate the environment, ensuring compliance with environmental protection and waste laws through permits, declarations, notifications, and reporting of environmental risks.
Espoo Region Environmental Health Services;https://www.espoo.fi/en/housing-and-building/espoo-region-environmental-health-services;"Environmental Health Services is responsible for the municipality's statutory duties related to health protection, food control, tobacco control and veterinary care.

Environmental Health Services is responsible for the municipality's statutory duties based on the Health Protection Act, Food Act, Veterinary Care Act, Tobacco Act and Medicines Act in Espoo, Kauniainen and Kirkkonummi.

The unit has an office in Otaniemi, Espoo, at Tekniikantie 15.

Water samples can be dropped off on Mondays by 11:00 to: Urban Environment Sector's customer service (2nd floor), Tekniikantie 15, 02150 Espoo

The Otaniemi customer service also provides sampling kits for well water sampling. The customer service point is open Mon-Fri 8:00-15:30.";Environmental Health Services is responsible for the municipality's statutory duties related to health protection, food control, tobacco control and veterinary care.;"City of Espoo veterinarians' office: https://www.espoo.fi/en/unit/64065; Espoo Region Environmental Health Services: https://www.espoo.fi/en/unit/21934";13.10.2025;Espoo Region Environmental Health Services enforces statutory health protection, food and tobacco controls, and veterinary care across Espoo, Kauniainen, and Kirkkonummi, and provides water sampling services from its Otaniemi office.
Espoo info;https://www.espoo.fi/en/city-and-decision-making/customer-service-and-e-services/espoo-info;"Espoo info provides general advice on the services offered by the City of Espoo and support in accessing these services. We also assist with the use of digital services provided by the City of Espoo and other public organizations. Feel free to ask for help if you don't know who to turn to or how to proceed.

We serve by phone, chat, service points, and email. You can also reach us via video call if you wish.";Espoo info provides general advice on the services offered by the City of Espoo and support in accessing these services.;"Espoo info Service Point Kalajärvi: https://www.espoo.fi/en/unit/53545; Espoo info Service Point Leppävaara: https://www.espoo.fi/en/unit/53542; Espoo info Service Point Matinkylä: https://www.espoo.fi/en/unit/53503";13.10.2025;Espoo info provides guidance on City of Espoo services and helps residents access and use them, including digital services, via phone, chat, service points, email, or video call.
Excavation permit and siting permit;https://www.espoo.fi/en/services/excavation-permit-and-siting-permit;Excavation in public areas, such as streets and parks, requires an excavation permit. The running of lines and structures also requires a siting permit. An excavation permit can only be applied for after a siting permit has been issued.;Excavation in public areas, such as streets and parks, requires an excavation permit.;"ePermit (only in Finnish and Swedish) : https://easiointi.espoo.fi/ePermit/fi/Account?ReturnUrl=%2FePermit%2Ffi%2FPermitApplicant; Cable and pipe information service: https://www.espoo.fi/en/services/cable-and-pipe-information-service; More about excavation permit and siting permit: https://www.espoo.fi/en/excavation-permit-and-siting-permit";13.10.2025;This service issues excavation permits for work in public areas and requires a preceding siting permit for running lines and structures, with excavation permits issued only after the siting permit has been issued.
Exemption from joining the water utility's water supply or sewerage network;https://www.espoo.fi/en/services/exemption-joining-water-utilitys-water-supply-or-sewerage-network;"Exemption from joining the water utility's water supply or sewerage network can be applied for.

According to the Water Services Act, a property located in the area covered by the water utility's water supply and sewerage network must join the network. The aim is to protect the environment and human health. 

It is possible to apply for exemption from the obligation. Its granting is conditional on, among other things, circumstances that make joining the network unreasonable, the sufficient availability of high-quality domestic water and the proper treatment of wastewater. The exemption is granted on a temporary basis. 
Exemption from the obligation can be applied for from the Environment and Building Control Department. The exemption can be granted if all exemption criteria listed in the Act on Water Services are met.";Exemption from joining the water utility's water supply or sewerage network can be applied for.;"Environmental protection services: https://www.espoo.fi/en/unit/66794; Environmental supervision: https://www.espoo.fi/en-US/Housing_and_environment/Environment_and_nature/Environmental_supervision";13.10.2025;This service enables property owners to apply for a temporary exemption from the obligation to join the water utility's water supply and sewerage network when joining is unreasonable and the statutory criteria are met.
Exercise counselling;https://www.espoo.fi/en/sports-and-nature/exercise-groups-and-courses/exercise-counselling;"How should I start exercising? What sport would suit me? What sports could I take up as a hobby?

We will give you information about your local sports and exercise opportunities. The exercise instructors will give free-of-charge counselling for exercise to residents of all ages, especially those just starting out. Exercise counselling is available in Espoo health centres and at the sports facilities.

You can book an exercise counselling appointment by phone. The personnel of the Western Uusimaa health services can also book an appointment with exercise counselling for you.
";The exercise instructors will give free-of-charge counselling for exercise to residents of all ages, especially those just starting out.;Read more about sports and exercise groups and courses: https://www.espoo.fi/en/sports-and-nature/guided-exercise;13.10.2025;Free exercise counselling for residents of all ages to help you start exercising, choose suitable activities, and discover local sport opportunities, with appointments bookable by phone.
Exercise for children and young people;https://www.espoo.fi/en/sports-and-nature/exercise-groups-and-courses/exercise-children-and-young-people;"In Espoo, we encourage children to exercise and adopt an active way of life, and we also take into account the demand for applied exercise.

Together with Espoo-based sports clubs and associations, we organise regular weekly sports and exercise activities for children and teens. We offer relaxed hobby groups where the children can try out different sports guided by instructors of different sports clubs. In sports clubs, the children have the chance to influence the activities.

Exercise is also available during school holidays when exercise events and try-outs for a wide variety of different sports are organised for children and youth.

The offered activities are mostly free of charge.
";In Espoo, we encourage children to exercise and adopt an active way of life, and we also take into account the demand for applied exercise.;N/A;13.10.2025;In Espoo, we offer free weekly sports activities and holiday try-outs for children and teens, plus relaxed hobby groups guided by local clubs, to promote an active lifestyle and youth participation.
Exercise for seniors;https://www.espoo.fi/en/sports-and-nature/exercise-groups-and-courses/exercise-seniors;"The City of Espoo offers diverse guided sports services for seniors.

The objective of guided exercise for seniors is maintaining and improving the participants' physical condition, improving their functional capacity and offering recreation. The selection includes different fitness classes, gym training, water exercises and ball games. 

All exercisers considering themselves as seniors are welcome to the groups.

The City of Espoo offers all residents aged 68 and above free-of-charge exercise services with its +68 Sports wristband.
";The City of Espoo offers diverse guided sports services for seniors.;N/A;13.10.2025;Espoo's free, guided senior exercise program for residents aged 68 and older, offering fitness classes, gym training, water exercises, and ball games to maintain and improve physical condition and functional capacity.
Exercise for special groups;https://www.espoo.fi/en/sports-and-nature/exercise-groups-and-courses/exercise-special-groups;"We offer a wide range of adapted groups of different sports. These groups are intended for people who find it difficult to take part in the general sports and exercise groups due to a disability, an illness or other factor affecting their functional capacity.

The objective for the diverse exercise activities is to maintain functional capacity and physical condition. The groups also serve as an important meeting place for the participants. The participants have the option to bring in their own assistant.

The Espoo Sports and Exercise Services also organises exercise opportunities for special groups in cooperation with different associations and societies. Participation in these jointly arranged courses does not require joining the organisation in question.
";We offer a wide range of adapted groups of different sports. These groups are intended for people who find it difficult to take part in the general sports and exercise groups due to a disability, an illness or other factor affecting their functional capacity.;N/A;13.10.2025;An adaptive sports program offering group activities for people with disabilities or reduced functional capacity to maintain fitness and social connections, with optional personal assistant support and collaboration with partner associations.
Exercise for working-age residents;https://www.espoo.fi/en/sports-and-nature/exercise-groups-and-courses/exercise-working-age-residents;"The exercise groups for working-age residents are aimed at Espoo residents of all physical conditions, with a particular emphasis on special groups.

The exercise groups for working-age residents are aimed at Espoo residents of all physical conditions. The objective is to increase the amount of exercise done by the residents and to offer sports services that maintain health and the ability to work. People who have not exercised for a long time are especially welcome. Sports Services organises health-promoting exercise also in collaboration with different associations and clubs. Participation in collaboration courses does not require joining the organisation.";The exercise groups for working-age residents are aimed at Espoo residents of all physical conditions, with a particular emphasis on special groups.;N/A;13.10.2025;Health-promoting exercise groups for Espoo’s working-age residents of all fitness levels (especially beginners) to increase physical activity and maintain health and work ability, organized in collaboration with partner associations and clubs with no membership required.
Exercise groups and courses;https://www.espoo.fi/en/sports-and-nature/exercise-groups-and-courses;"The objective of the guided exercise activities of the Sports and Exercise Services is to offer high-quality and easily accessible, low-cost or free sports and exercise groups for Espoo residents to whom regular exercise is exceptionally important or who do not exercise enough to maintain their health.

Sports instructors guide the sports groups requiring special competence and professional skills for people of all ages and fitness levels at several different locations across Espoo.

The guided sports and exercise groups intended for seniors and special groups are free of charge to Espoo residents ages 68 and above.

The guided activities strive to be accessible and adaptable to the participants. Participants should bring their own assistants if necessary.
";Sports instructors guide the sports groups requiring special competence and professional skills for people of all ages and fitness levels at several different locations across Espoo.;N/A;13.10.2025;This service offers high-quality, accessible, low-cost or free guided exercise groups and courses for Espoo residents of all ages and fitness levels, including free programs for seniors aged 68 and over, led by qualified instructors at multiple locations with adaptable activities and the option for participants to bring their own assistants if needed.
Extended transition security for employees aged 55 or over;https://www.espoo.fi/en/services/extended-transition-security-employees-aged-55-or-over;"In the event of dismissal, those aged 55 or over may receive extended transition security services that help them to re-employ quickly.

If you are dismissed from your employment relationship on production or financial grounds and you have turned 55, you may be entitled to extended transition security. The extended transition security services will support your rapid re-employment. 

Transition security for those aged 55 or over includes
- transition security allowance,
- transition security training and
- extended employment leave of 5, 15 or 25 days. 

The transition security allowance is, on average, equal to your one-month salary. The transition security allowance is paid by the institution paying the unemployment benefit, i.e. an unemployment fund or Kela. 

The purpose of the transition security training is to promote your re-employment. The training increases your professional skills or supports your business operations, and its content meets your training needs. The training may last up to six months and is organised by the employment authority. Participating in the training is voluntary. 

Under the Employment Contracts Act, your employer must inform you if you are entitled to transition security for those aged 55 or over. The obligation to provide information applies to all employers.";In the event of dismissal, those aged 55 or over may receive extended transition security services that help them to re-employ quickly.;"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;Extended transition security for employees aged 55 or over provides financial support (about one month’s salary), transition training, and extended paid leave to help them re-enter employment quickly after dismissal on production or financial grounds.
Family day care;https://www.espoo.fi/en/childcare-and-education/early-childhood-education/family-day-care;Family day care is one form of early childhood education. It takes place in the home of the day care provider. A family day care provider can be an employee of the municipality or a self-employed person. The maximum number of children in a family day care group is four.;Family day care is one form of early childhood education. It takes place in the home of the day care provider. A family day care provider can be an employee of the municipality or a self-employed person. The maximum number of children in a family day care group is four.;N/A;13.10.2025;Family day care is a home-based early childhood education service where a provider cares for up to four children.
Fencing street and public areas;https://www.espoo.fi/en/services/fencing-street-and-public-areas;Street space should be rented when a street or a section of a street must be closed for construction work or the placing of a machine. Temporary fencing of streets and public areas and their use as storage or worksite area require renting of street space. The applications for rent permission with map attachments must be submitted through electric service at least one week beforehand.;Street space should be rented when a street or a section of a street must be closed for construction work or the placing of a machine.;"Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749; Regulations and guidelines for the capital region 2025 (available in Finnish only): https://kuntatekniikka.fi/wp-content/uploads/2025/04/32694094_PKS_A5-ohje_web-2025.pdf";13.10.2025;Provides permits to rent street space for temporary fencing, street closures, or use of streets and public areas as storage or a worksite, with online applications (including map attachments) submitted at least one week before work begins.
Final review and partial final review;https://www.espoo.fi/en/services/final-review-and-partial-final-review;A building or part of it can be taken into use when the required reviews have been carried out, the necessary documents have been submitted, the inspections have been made and the object has been approved for use in the final review.;A building or part of it can be taken into use when the required reviews have been carried out, the necessary documents have been submitted, the inspections have been made and the object has been approved for use in the final review.;Espoo Building Control: https://www.espoo.fi/en/unit/21970;13.10.2025;This service permits the use of a building or part of it once all required reviews, documents, and inspections are completed and final approval is granted.
Financial Services contact information;https://www.espoo.fi/en/services/financial-services-contact-information;"The City of Espoo sends and receives invoices.

Espoo's Financial Services is responsible for sending sales invoices to Espoo residents and other customers. Invoices are based on the services provided for customers.

We receive purchase invoices as e-invoices from our suppliers and service providers.


The City of Espoo sends and receives invoices.

Espoo's Financial Services is responsible for sending sales invoices to Espoo residents and other customers. Invoices are based on the services provided for customers.

We receive purchase invoices as e-invoices from our suppliers and service providers.";"The City of Espoo sends and receives invoices.

Espoo's Financial Services is responsible for sending sales invoices to Espoo residents and other customers. Invoices are based on the services provided for customers.

We receive purchase invoices as e-invoices from our suppliers and service providers.
";Invoices to and from the City of Espoo: https://www.espoo.fi/en/city-and-decision-making/invoices-and-city-espoo;13.10.2025;The City of Espoo's Financial Services handles the invoicing process by issuing sales invoices to residents and customers for services provided and by receiving supplier purchase invoices as e-invoices.
